WEEK,LOCATION,SPECIES
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,INCARNATA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,SYRIACA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AB,TUBEROSA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,INCARNATA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,SYRIACA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AN,TUBEROSA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,INCARNATA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,SYRIACA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,AW,TUBEROSA
1,EB,INCARNATA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,SYRIACA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,EB,TUBEROSA
1,HS,INCARNATA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,SYRIACA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,HS,TUBEROSA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,INCARNATA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,SYRIACA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,JY,TUBEROSA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,INCARNATA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,SYRIACA
1,LP,TUBEROSA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,INCARNATA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,SYRIACA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,SH,TUBEROSA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,INCARNATA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,SYRIACA
1,ST,TUBEROSA
1,ST,TUBEROSA
1,ST,TUBEROSA
1,ST,TUBEROSA
1,ST,TUBEROSA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,INCARNATA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,SYRIACA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AB,TUBEROSA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,INCARNATA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,SYRIACA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AN,TUBEROSA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,INCARNATA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,SYRIACA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,AW,TUBEROSA
2,EB,INCARNATA
2,EB,INCARNATA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,SYRIACA
2,EB,TUBEROSA
