WEEK,LOCATION,SPECIES,MON_EGG_TOT,MON_LARV_TOT,MYZ_ASC,APH_NER,APH_ASC,APH_TOT,FOR_SUB,FOR_PAL,FOR_TOT,LAS_NEO,LAS_TOT,TET_IMM,CRE_CER,ANT_TOT,LB_TOT,PARA,LWING
5,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WE,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WE,SYRIACA,1,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5,WE,SYRIACA,5,0,80,0,0,80,0,0,0,0,0,0,0,0,0,0,0
5,WE,SYRIACA,0,2,255,0,0,255,0,0,0,2,2,0,0,2,0,0,0
5,WE,SYRIACA,0,0,17,0,0,17,0,0,0,1,1,0,0,1,0,0,0
5,WE,SYRIACA,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,AW,INCARNATA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AW,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AW,INCARNATA,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
5,AW,INCARNATA,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AW,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AW,SYRIACA,3,0,9,0,0,9,0,3,3,0,0,0,0,4,0,3,0
5,AW,SYRIACA,0,0,7,0,0,7,0,1,1,0,0,0,0,1,0,0,0
5,AW,SYRIACA,2,0,13,0,0,13,0,1,1,0,0,0,0,1,0,1,0
5,AW,SYRIACA,1,1,5,0,0,5,0,3,3,0,0,0,0,3,0,1,0
