PLANT_ID,TIME_ID,TIME,SPECIES,TREATMENT,NUM_EGGS_PRESENT,PROP_SURV,HOURS_POST_DEPLOY
1,1,12,SYR,CLOSED,2,1,2
1,1,12,SYR,OPEN,2,1,2
2,1,12,SYR,CLOSED,2,1,2
2,1,12,SYR,OPEN,2,1,2
3,1,12,SYR,CLOSED,2,1,2
3,1,12,SYR,OPEN,2,1,2
4,1,12,SYR,CLOSED,2,1,2
4,1,12,SYR,OPEN,2,1,2
5,1,12,SYR,CLOSED,2,1,2
5,1,12,SYR,OPEN,2,1,2
6,1,12,SYR,CLOSED,2,1,2
6,1,12,SYR,OPEN,2,1,2
7,1,12,SYR,CLOSED,2,1,2
7,1,12,SYR,OPEN,2,1,2
8,1,12,SYR,CLOSED,2,1,2
8,1,12,SYR,OPEN,2,1,2
9,1,12,SYR,CLOSED,2,1,2
9,1,12,SYR,OPEN,2,1,2
10,1,12,SYR,CLOSED,2,1,2
10,1,12,SYR,OPEN,2,1,2
11,1,12,SYR,CLOSED,2,1,2
11,1,12,SYR,OPEN,2,1,2
12,1,12,SYR,CLOSED,2,1,2
12,1,12,SYR,OPEN,2,1,2
13,1,12,SYR,CLOSED,2,1,2
13,1,12,SYR,OPEN,2,1,2
14,1,12,SYR,CLOSED,2,1,2
14,1,12,SYR,OPEN,2,1,2
15,1,12,SYR,CLOSED,2,1,2
15,1,12,SYR,OPEN,2,1,2
16,1,12,INC,CLOSED,2,1,2
16,1,12,INC,OPEN,2,1,2
17,1,12,INC,CLOSED,2,1,2
17,1,12,INC,OPEN,2,1,2
18,1,12,INC,CLOSED,2,1,2
18,1,12,INC,OPEN,2,1,2
19,1,12,INC,CLOSED,2,1,2
19,1,12,INC,OPEN,2,1,2
20,1,12,INC,CLOSED,2,1,2
20,1,12,INC,OPEN,2,1,2
21,1,12,INC,CLOSED,2,1,2
21,1,12,INC,OPEN,2,1,2
22,1,12,INC,CLOSED,2,1,2
22,1,12,INC,OPEN,2,1,2
23,1,12,INC,CLOSED,2,1,2
23,1,12,INC,OPEN,2,1,2
24,1,12,INC,CLOSED,2,1,2
24,1,12,INC,OPEN,1,0.5,2
25,1,12,INC,CLOSED,2,1,2
25,1,12,INC,OPEN,2,1,2
26,1,12,INC,CLOSED,2,1,2
26,1,12,INC,OPEN,2,1,2
27,1,12,INC,CLOSED,2,1,2
27,1,12,INC,OPEN,2,1,2
28,1,12,INC,CLOSED,2,1,2
28,1,12,INC,OPEN,2,1,2
29,1,12,INC,CLOSED,2,1,2
29,1,12,INC,OPEN,2,1,2
30,1,12,INC,CLOSED,2,1,2
30,1,12,INC,OPEN,2,1,2
1,2,14,SYR,CLOSED,2,1,4
1,2,14,SYR,OPEN,2,1,4
2,2,14,SYR,CLOSED,2,1,4
2,2,14,SYR,OPEN,2,1,4
3,2,14,SYR,CLOSED,2,1,4
3,2,14,SYR,OPEN,2,1,4
4,2,14,SYR,CLOSED,2,1,4
4,2,14,SYR,OPEN,2,1,4
5,2,14,SYR,CLOSED,2,1,4
5,2,14,SYR,OPEN,2,1,4
6,2,14,SYR,CLOSED,2,1,4
6,2,14,SYR,OPEN,2,1,4
7,2,14,SYR,CLOSED,2,1,4
7,2,14,SYR,OPEN,2,1,4
8,2,14,SYR,CLOSED,2,1,4
8,2,14,SYR,OPEN,2,1,4
9,2,14,SYR,CLOSED,2,1,4
9,2,14,SYR,OPEN,2,1,4
10,2,14,SYR,CLOSED,2,1,4
10,2,14,SYR,OPEN,2,1,4
11,2,14,SYR,CLOSED,2,1,4
11,2,14,SYR,OPEN,2,1,4
12,2,14,SYR,CLOSED,2,1,4
12,2,14,SYR,OPEN,2,1,4
13,2,14,SYR,CLOSED,2,1,4
13,2,14,SYR,OPEN,2,1,4
14,2,14,SYR,CLOSED,2,1,4
14,2,14,SYR,OPEN,2,1,4
15,2,14,SYR,CLOSED,2,1,4
15,2,14,SYR,OPEN,2,1,4
16,2,14,SYR,CLOSED,2,1,4
16,2,14,INC,OPEN,2,1,4
17,2,14,INC,CLOSED,2,1,4
17,2,14,INC,OPEN,2,1,4
18,2,14,INC,CLOSED,2,1,4
18,2,14,INC,OPEN,2,1,4
19,2,14,INC,CLOSED,2,1,4
19,2,14,INC,OPEN,2,1,4
20,2,14,INC,CLOSED,2,1,4
20,2,14,INC,OPEN,2,1,4
21,2,14,INC,CLOSED,2,1,4
21,2,14,INC,OPEN,2,1,4
22,2,14,INC,CLOSED,2,1,4
22,2,14,INC,OPEN,2,1,4
23,2,14,INC,CLOSED,2,1,4
23,2,14,INC,OPEN,2,1,4
24,2,14,INC,CLOSED,2,1,4
24,2,14,INC,OPEN,1,0.5,4
25,2,14,INC,CLOSED,2,1,4
25,2,14,INC,OPEN,2,1,4
26,2,14,INC,CLOSED,2,1,4
26,2,14,INC,OPEN,2,1,4
27,2,14,INC,CLOSED,2,1,4
27,2,14,INC,OPEN,2,1,4
28,2,14,INC,CLOSED,2,1,4
28,2,14,INC,OPEN,2,1,4
29,2,14,INC,CLOSED,2,1,4
29,2,14,INC,OPEN,2,1,4
30,2,14,INC,CLOSED,2,1,4
30,2,14,INC,OPEN,2,1,4
1,3,16,SYR,CLOSED,2,1,6
1,3,16,SYR,OPEN,2,1,6
2,3,16,SYR,CLOSED,2,1,6
2,3,16,SYR,OPEN,2,1,6
3,3,16,SYR,CLOSED,2,1,6
3,3,16,SYR,OPEN,2,1,6
4,3,16,SYR,CLOSED,2,1,6
4,3,16,SYR,OPEN,2,1,6
5,3,16,SYR,CLOSED,2,1,6
5,3,16,SYR,OPEN,2,1,6
6,3,16,SYR,CLOSED,2,1,6
6,3,16,SYR,OPEN,1,0.5,6
7,3,16,SYR,CLOSED,2,1,6
7,3,16,SYR,OPEN,2,1,6
8,3,16,SYR,CLOSED,2,1,6
8,3,16,SYR,OPEN,2,1,6
9,3,16,SYR,CLOSED,2,1,6
9,3,16,SYR,OPEN,2,1,6
10,3,16,SYR,CLOSED,2,1,6
10,3,16,SYR,OPEN,2,1,6
11,3,16,SYR,CLOSED,2,1,6
11,3,16,SYR,OPEN,2,1,6
12,3,16,SYR,CLOSED,2,1,6
12,3,16,SYR,OPEN,1,0.5,6
13,3,16,SYR,CLOSED,2,1,6
13,3,16,SYR,OPEN,2,1,6
14,3,16,SYR,CLOSED,2,1,6
14,3,16,SYR,OPEN,0,0,6
15,3,16,SYR,CLOSED,2,1,6
15,3,16,SYR,OPEN,2,1,6
16,3,16,INC,CLOSED,2,1,6
16,3,16,INC,OPEN,2,1,6
17,3,16,INC,CLOSED,2,1,6
17,3,16,INC,OPEN,2,1,6
18,3,16,INC,CLOSED,2,1,6
18,3,16,INC,OPEN,2,1,6
19,3,16,INC,CLOSED,2,1,6
19,3,16,INC,OPEN,2,1,6
20,3,16,INC,CLOSED,2,1,6
20,3,16,INC,OPEN,2,1,6
21,3,16,INC,CLOSED,2,1,6
21,3,16,INC,OPEN,2,1,6
22,3,16,INC,CLOSED,2,1,6
22,3,16,INC,OPEN,2,1,6
23,3,16,INC,CLOSED,2,1,6
23,3,16,INC,OPEN,2,1,6
24,3,16,INC,CLOSED,2,1,6
24,3,16,INC,OPEN,1,0.5,6
25,3,16,INC,CLOSED,2,1,6
25,3,16,INC,OPEN,2,1,6
26,3,16,INC,CLOSED,2,1,6
26,3,16,INC,OPEN,2,1,6
27,3,16,INC,CLOSED,2,1,6
27,3,16,INC,OPEN,2,1,6
28,3,16,INC,CLOSED,2,1,6
28,3,16,INC,OPEN,2,1,6
29,3,16,INC,CLOSED,2,1,6
29,3,16,INC,OPEN,2,1,6
30,3,16,INC,CLOSED,2,1,6
30,3,16,INC,OPEN,2,1,6
1,4,18,SYR,CLOSED,2,1,8
1,4,18,SYR,OPEN,2,1,8
2,4,18,SYR,CLOSED,2,1,8
2,4,18,SYR,OPEN,2,1,8
3,4,18,SYR,CLOSED,2,1,8
3,4,18,SYR,OPEN,2,1,8
4,4,18,SYR,CLOSED,2,1,8
4,4,18,SYR,OPEN,0,0,8
5,4,18,SYR,CLOSED,2,1,8
5,4,18,SYR,OPEN,2,1,8
6,4,18,SYR,CLOSED,2,1,8
6,4,18,SYR,OPEN,1,0.5,8
7,4,18,SYR,CLOSED,2,1,8
7,4,18,SYR,OPEN,2,1,8
8,4,18,SYR,CLOSED,2,1,8
8,4,18,SYR,OPEN,2,1,8
9,4,18,SYR,CLOSED,2,1,8
9,4,18,SYR,OPEN,2,1,8
10,4,18,SYR,CLOSED,2,1,8
10,4,18,SYR,OPEN,2,1,8
11,4,18,SYR,CLOSED,2,1,8
11,4,18,SYR,OPEN,2,1,8
12,4,18,SYR,CLOSED,2,1,8
12,4,18,SYR,OPEN,1,0.5,8
13,4,18,SYR,CLOSED,2,1,8
13,4,18,SYR,OPEN,1,0.5,8
14,4,18,SYR,CLOSED,2,1,8
14,4,18,SYR,OPEN,0,0,8
15,4,18,SYR,CLOSED,2,1,8
15,4,18,SYR,OPEN,0,0,8
16,4,18,INC,CLOSED,2,1,8
16,4,18,INC,OPEN,2,1,8
