PLANT_SP,EGG_ID,PLANT_ID,TIME_POST_DEPLOY,STATUS
Syriaca,1,1,26,1
Syriaca,2,1,26,1
Syriaca,3,2,14,2
Syriaca,4,2,14,2
Syriaca,5,3,14,2
Syriaca,6,3,26,1
Syriaca,7,4,8,2
Syriaca,8,4,8,2
Syriaca,9,5,8,2
Syriaca,10,5,10,2
Syriaca,11,6,10,2
Syriaca,12,6,20,2
Syriaca,13,7,12,2
Syriaca,14,7,12,2
Syriaca,15,8,14,2
Syriaca,16,8,26,1
Syriaca,17,9,26,1
Syriaca,18,9,26,2
Syriaca,19,10,14,2
Syriaca,20,10,26,1
Syriaca,21,11,12,2
Syriaca,22,11,24,2
Syriaca,23,12,6,2
Syriaca,24,12,8,2
Syriaca,25,13,8,2
Syriaca,26,13,8,2
Syriaca,27,14,6,2
Syriaca,28,14,6,2
Syriaca,29,15,8,2
Syriaca,30,15,8,2
Incarnata,31,16,12,2
Incarnata,32,16,26,1
Incarnata,33,17,12,2
Incarnata,34,17,22,2
Incarnata,35,18,26,1
Incarnata,36,18,26,1
Incarnata,37,19,12,2
Incarnata,38,19,22,2
Incarnata,39,20,10,2
Incarnata,40,20,10,2
Incarnata,41,21,18,2
Incarnata,42,21,26,1
Incarnata,43,22,20,2
Incarnata,44,22,26,1
Incarnata,45,23,16,2
Incarnata,46,23,22,2
Incarnata,47,24,4,2
Incarnata,48,24,26,1
Incarnata,49,25,12,2
Incarnata,50,25,12,2
Incarnata,51,26,20,2
Incarnata,52,26,26,1
Incarnata,53,27,16,2
Incarnata,54,27,26,1
Incarnata,55,28,26,1
Incarnata,56,28,26,1
Incarnata,57,29,14,2
Incarnata,58,29,26,1
Incarnata,59,30,16,2
Incarnata,60,30,16,2
